FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
1370,1402,6/30/2011,0.520196759,28.52520186000,-91.60343279000,514,-91.58100000000,28.57800000000,20.90000000000,0.05736614
1372,1404,6/30/2011,0.521574074,28.60032316000,-91.63705919000,514,-91.58100000000,28.57800000000,20.90000000000,0.06034034
1373,1405,6/30/2011,0.522222222,28.60301536000,-91.59352811000,514,-91.58100000000,28.57800000000,20.90000000000,0.02797717
1374,1406,6/30/2011,0.522256944,28.61306026000,-91.56892438000,514,-91.58100000000,28.57800000000,20.90000000000,0.03708156
1375,1407,6/30/2011,0.522928241,28.62387609000,-91.52691679000,514,-91.58100000000,28.57800000000,20.90000000000,0.07091974
1376,1408,6/30/2011,0.522974537,28.64721667000,-91.53516667000,514,-91.58100000000,28.57800000000,20.90000000000,0.08301591
1377,1409,6/30/2011,0.523611111,28.65470000000,-91.53188333000,514,-91.58100000000,28.57800000000,20.90000000000,0.09107874
1378,1411,6/30/2011,0.523622685,28.65668880000,-91.53363033000,514,-91.58100000000,28.57800000000,20.90000000000,0.09184668
1379,1412,6/30/2011,0.523645833,28.67058368000,-91.53767206000,514,-91.58100000000,28.57800000000,20.90000000000,0.10222059
1380,1413,6/30/2011,0.523657407,28.66762737000,-91.51748706000,514,-91.58100000000,28.57800000000,20.90000000000,0.10984971
1381,1414,6/30/2011,0.523657407,28.67414474000,-91.52999174000,514,-91.58100000000,28.57800000000,20.90000000000,0.10883774
1384,1417,6/30/2011,0.525046296,28.68490000000,-91.53283333000,514,-91.58100000000,28.57800000000,20.90000000000,0.11725032
586,591,6/27/2011,0.493055556,28.61434144000,-91.79353790000,515,-91.83400000000,28.51200000000,25.90000000000,0.11004977
588,593,6/27/2011,0.496527778,28.43496667000,-91.85865000000,515,-91.83400000000,28.51200000000,25.90000000000,0.08088113
1219,1248,6/30/2011,0.408310185,28.64378442000,-91.76610974000,515,-91.83400000000,28.51200000000,25.90000000000,0.14824379
1220,1249,6/30/2011,0.40875,28.63623333000,-91.78243333000,515,-91.83400000000,28.51200000000,25.90000000000,0.13451038
1221,1250,6/30/2011,0.408946759,28.64272986000,-91.78732789000,515,-91.83400000000,28.51200000000,25.90000000000,0.13881132
1363,1395,6/30/2011,0.507685185,28.63950000000,-91.76588333000,515,-91.83400000000,28.51200000000,25.90000000000,0.14455494
1364,1396,6/30/2011,0.511111111,28.51031667000,-91.82828333000,515,-91.83400000000,28.51200000000,25.90000000000,0.00595936
1365,1397,6/30/2011,0.513240741,28.41451667000,-91.85128333000,515,-91.83400000000,28.51200000000,25.90000000000,0.09900360
1366,1398,6/30/2011,0.514641204,28.40595065000,-91.77008189000,515,-91.83400000000,28.51200000000,25.90000000000,0.12382241
498,494,6/27/2011,0.403842593,28.42547222000,-92.07703889000,516,-92.00300000000,28.47000000000,28.90000000000,0.08639722
591,596,6/27/2011,0.500011574,28.41878333000,-92.08326667000,516,-92.00300000000,28.47000000000,28.90000000000,0.09521494
