Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
841,7995464,-92.76539406,28.93456386,0,43405,0,43528,43226,43436,45249,46298
842,7995464,-89.18475748,28.93375879,0,43398,46515,46930,44957,0,0,0
843,7995464,-89.92922892,28.93296387,0,44190,46100,45947,45545,47269,48976,48047
844,7995464,-90.45465275,28.9323958,0,0,43810,44554,44745,45358,0,46054
845,7995464,-90.45140686,28.93222696,0,0,43810,44554,44745,45358,0,46054
846,7995464,-88.80953333,28.93158333,0,0,45580,45896,43708,0,47526,0
847,7995464,-89.07772273,28.93155046,0,0,46350,46281,43737,45813,0,0
848,7995464,-91.08811667,28.93143333,0,43503,43632,44156,44228,44979,47962,47266
849,7995464,-93.1980189,28.93068333,0,43686,41513,0,43187,0,45689,44795
850,7995464,-92.7370282,28.93047493,0,43636,0,43423,43162,43789,45033,46030
851,7995464,-90.45735045,28.93036956,0,0,43810,44554,44745,45358,0,46054
852,7995464,-91.44076667,28.93015,0,42930,43423,43735,43941,0,47502,47885
853,7995464,-93.41314731,28.92945,0,43569,42203,43495,42653,44120,45451,45095
854,7995464,-89.9071,28.92875,0,44157,46011,46500,45729,47480,0,48252
855,7995464,-92.75405327,28.92837165,0,43405,0,43528,43226,43436,45249,46298
856,7995464,-92.55122789,28.92806662,0,43833,0,43129,43654,45008,45979,46148
857,7995464,-90.46155355,28.92762548,0,44134,43887,44583,45298,45878,0,46723
858,7995464,-93.85602702,28.9261256,40766,42781,41893,42545,42627,44196,44770,44095
859,7995464,-89.95810661,28.92585082,0,44190,46100,45947,45545,47269,48976,48047
860,7995464,-89.75706377,28.92574942,0,0,45828,45169,44467,45619,48335,48194
861,7995464,-92.32916766,28.92560062,0,44047,41928,43122,43403,44778,46076,47472
862,7995464,-92.33346986,28.92548348,0,43891,41719,43448,43112,44665,46078,47432
863,7995464,-92.35245683,28.92533175,0,43891,41719,43448,43112,44665,46078,47432
864,7995464,-92.35999499,28.92428213,0,43891,41719,43448,43112,44665,46078,47432
865,7995464,-92.75518227,28.9241789,0,43405,0,43528,43226,43436,45249,46298
866,7995464,-90.46741308,28.92252053,0,44134,43887,44583,45298,45878,0,46723
867,7995464,-92.75703379,28.92229872,0,43405,0,43528,43226,43436,45249,46298
